Title,Time,Description,Source
Countries Halt Funding To UN Agency Amid Claim Staff Helped In Hamas Attack,"Sat, 27 Jan 2024 22:16:26 GMT","Six European countries have paused funding for the UN refugee agency for PalestiniansSix European countries paused funding for the U.N. refugee agency for Palestinians (UNRWA) on Saturday, following allegations that some of its staff were involved in the October 7 Hamas attacks on Israel.
""Palestinians in Gaza did not need this additional collective punishment,"" Philippe Lazzarini, UNRWA commissioner-general, said on X.
The agency said on Friday it had opened an investigation into several employees and severed ties with those people.
Announcing the investigation, Lazzarini said on Friday that he had decided to terminate the contracts of some staff members to protect the agency's ability to deliver humanitarian assistance.
""We call on countries that announced the cessation of their support for UNRWA to immediately reverse their decision,"" he said on X.",https://news.google.com/rss/articles/CBMinQFodHRwczovL3d3dy5uZHR2LmNvbS93b3JsZC1uZXdzL2lzcmFlbC1oYW1hcy13YXItc2hvY2tpbmctdW4tcGFsZXN0aW5pYW4tYWdlbmN5LWFmdGVyLWNvdW50cmllcy1oYWx0LWZ1bmRzLWFtaWQtY2xhaW1zLXN0YWZmLWludm9sdmVkLWluLWhhbWFzLWF0dGFjay00OTQ0ODE10gGjAWh0dHBzOi8vd3d3Lm5kdHYuY29tL3dvcmxkLW5ld3MvaXNyYWVsLWhhbWFzLXdhci1zaG9ja2luZy11bi1wYWxlc3Rpbmlhbi1hZ2VuY3ktYWZ0ZXItY291bnRyaWVzLWhhbHQtZnVuZHMtYW1pZC1jbGFpbXMtc3RhZmYtaW52b2x2ZWQtaW4taGFtYXMtYXR0YWNrLTQ5NDQ4MTUvYW1wLzE?oc=5
"Netanyahu wields Hitler's 'Mein Kampf', pans World Court ruling in genocide case","Sun, 28 Jan 2024 03:20:50 GMT","Israeli Prime Minister Benjamin Netanyahu called Hamas terrorists the 'new Nazis', as he slammed the International Court of Justice’s decision giving nod to South Africa’s genocide claim against Israel.
Speaking on the International Holocaust Remembrance Day (anniversary of the liberation of Auschwitz), Netanyahu also brandished an Arabic-language copy of Adolf Hitler's Mein Kampf.
""New Nazis now get help from South Africa,"" Netanyahu said.
""The very fact that it was not dismissed... proves that many in the world have learned nothing from the Holocaust,"" the Israeli Prime Minister said.
On Friday, the World Court ordered Israel to take action to prevent acts of genocide, but it stopped short of calling for an immediate ceasefire.",https://news.google.com/rss/articles/CBMiiQFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL3dvcmxkL3N0b3J5L25ldGFueWFodS1jYWxscy1oYW1hcy10ZXJyb3Jpc3RzLW5ldy1uYXppcy1zaG93cy1jb3B5LW9mLWFkb2xmLWhpdGxlci1tZWluLWthbXBmLTI0OTQ0NjctMjAyNC0wMS0yONIBjQFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2FtcC93b3JsZC9zdG9yeS9uZXRhbnlhaHUtY2FsbHMtaGFtYXMtdGVycm9yaXN0cy1uZXctbmF6aXMtc2hvd3MtY29weS1vZi1hZG9sZi1oaXRsZXItbWVpbi1rYW1wZi0yNDk0NDY3LTIwMjQtMDEtMjg?oc=5
More Palestinians displaced as Israel battles Hamas in south Gaza,"Sun, 28 Jan 2024 11:18:00 GMT","It has released photos and videos supporting this allegation, which the Islamist group denies.The Palestinian Red Crescent Society said in a statement that medical teams at Al-Amal Hospital in Khan Younis would be unable to perform surgeries because oxygen supplies were depleted.More families were displaced from Khan Younis on Sunday.
Others headed west to an area called Al-Mawasi where residents described being crammed into a small area.
""Reem Abu Tair left Khan Younis in the cold with three children, one of them an infant.
""We managed to save our lives, we escaped bombings and the destruction that is surrounding us only to end up in the cold.
So, if a child does not die from the bombing, he will die from the cold,"" Abu Tair said.",https://news.google.com/rss/articles/CBMiiAFodHRwczovL20udGltZXNvZmluZGlhLmNvbS93b3JsZC9taWRkbGUtZWFzdC9tb3JlLXBhbGVzdGluaWFucy1kaXNwbGFjZWQtYXMtaXNyYWVsLWJhdHRsZXMtaGFtYXMtaW4tc291dGgtZ2F6YS9hcnRpY2xlc2hvdy8xMDcyMDQ2MjUuY21z0gGMAWh0dHBzOi8vbS50aW1lc29maW5kaWEuY29tL3dvcmxkL21pZGRsZS1lYXN0L21vcmUtcGFsZXN0aW5pYW5zLWRpc3BsYWNlZC1hcy1pc3JhZWwtYmF0dGxlcy1oYW1hcy1pbi1zb3V0aC1nYXphL2FtcF9hcnRpY2xlc2hvdy8xMDcyMDQ2MjUuY21z?oc=5
Israel’s war on Gaza live: Meeting in Paris as truce-deal progress reported,"Sun, 28 Jan 2024 11:13:45 GMT","blinking-dot Live updates Live updates,Israel’s war on Gaza live: Meeting in Paris as truce-deal progress reportedCIA head William Burns will spearhead talks in Paris with officials from Israel, Egypt and Qatar on a pause in fighting.",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy9saXZlYmxvZy8yMDI0LzEvMjgvaXNyYWVscy13YXItb24tZ2F6YS1saXZlLWFpZC1jdXRzLWFyZS1jb2xsZWN0aXZlLXB1bmlzaG1lbnQtdW5yd2HSAQA?oc=5
Breaking! Hamas'shocking announcement on ICJ ruling on genocide charges against Israel & Gaza ceasefire,"Fri, 26 Jan 2024 16:56:49 GMT","Jan 26, 2024, 10:26PM ISTSource: TOI.inThe International Court of Justice (ICJ) recently issued a crucial ruling on South Africa's emergency measures in the genocide case against Israel.
In a landmark decision, the court directed Israel to take immediate steps to prevent acts of genocide in the Gaza Strip.
This development heightened the anticipation of Hamas, which has been closely monitoring the ICJ's deliberations on Israel's alleged genocide.Following the ICJ ruling, Hamas leader Osama Hamdan held a press conference to unveil the organization's stance.
He announced that Hamas is willing to adhere to a ceasefire if ordered by the ICJ, under the condition that Israel reciprocates.
In a bold move, Hamas proposed the release of Zionist detainees in exchange for the freedom of all Palestinian detainees currently held in Israeli custody.Moreover, Hamas called for an urgent end to Israel's 18-year blockade on the Gaza Strip, emphasizing the humanitarian impact of such restrictions.",https://news.google.com/rss/articles/CBMiswFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS92aWRlb3MvdG9pLW9yaWdpbmFsL2JyZWFraW5nLWhhbWFzc2hvY2tpbmctYW5ub3VuY2VtZW50LW9uLWljai1ydWxpbmctb24tZ2Vub2NpZGUtY2hhcmdlcy1hZ2FpbnN0LWlzcmFlbC1nYXphLWNlYXNlZmlyZS92aWRlb3Nob3cvMTA3MTc0MjU1LmNtc9IBtwFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS92aWRlb3MvdG9pLW9yaWdpbmFsL2JyZWFraW5nLWhhbWFzc2hvY2tpbmctYW5ub3VuY2VtZW50LW9uLWljai1ydWxpbmctb24tZ2Vub2NpZGUtY2hhcmdlcy1hZ2FpbnN0LWlzcmFlbC1nYXphLWNlYXNlZmlyZS9hbXBfdmlkZW9zaG93LzEwNzE3NDI1NS5jbXM?oc=5
Israeli PM Benjamin Netanyahu says elimination of Hamas is his goal in Gaza,"Sat, 27 Jan 2024 19:58:28 GMT","As top US officials push for a hostage deal and a pause in the war in Gaza, Israeli Prime Minister Benjamin Netanyahu said Saturday the only acceptable outcome is the elimination of Hamas and any threat it may pose to Israel.
Israeli Prime Minister Benjamin Netanyahu (Reuters)Speaking at an evening news conference, Netanyahu noted that it was International Holocaust Remembrance Day.
“If we don’t eliminate the Hamas terrorists, these ‘new Nazis,’ the next massacre is only a question of time,” he said.
The war began on Oct. 7 when Hamas operatives swarmed into Israel, killing 1,200 and kidnapping 240.
Israel responded with attacks from the air, sea and land, killing nearly 26,000, according to Hamas officials, who don’t distinguish between civilians and fighters.",https://news.google.com/rss/articles/CBMiigFodHRwczovL3d3dy5oaW5kdXN0YW50aW1lcy5jb20vd29ybGQtbmV3cy9pc3JhZWxpLXBtLWJlbmphbWluLW5ldGFueWFodS1zYXlzLWVsaW1pbmF0aW9uLW9mLWhhbWFzLWlzLWhpcy1nb2FsLWluLWdhemEtMTAxNzA2Mzg0NzkyNDIxLmh0bWzSAY4BaHR0cHM6Ly93d3cuaGluZHVzdGFudGltZXMuY29tL3dvcmxkLW5ld3MvaXNyYWVsaS1wbS1iZW5qYW1pbi1uZXRhbnlhaHUtc2F5cy1lbGltaW5hdGlvbi1vZi1oYW1hcy1pcy1oaXMtZ29hbC1pbi1nYXphLTEwMTcwNjM4NDc5MjQyMS1hbXAuaHRtbA?oc=5
UN agency head 'horrified' by allegation that staff joined Hamas attacks – video,"Sat, 27 Jan 2024 16:18:46 GMT","The UN’s key aid agency for Palestinian refugees, the Relief and Works Agency (UNRWA), said on Friday it had opened an investigation into several employees suspected of involvement in the 7 October attacks on Israel by Hamas, and that it had severed ties with those staff members.
A spokesperson said Philippe Lazzarini, the UNRWA commissioner general, would 'immediately terminate the contracts' of a number of staff",https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy50aGVndWFyZGlhbi5jb20vd29ybGQvdmlkZW8vMjAyNC9qYW4vMjcvdW4tYWdlbmN5LWhlYWQtaG9ycmlmaWVkLWJ5LWFsbGVnYXRpb24tdGhhdC1zdGFmZi1qb2luZWQtaGFtYXMtYXR0YWNrcy12aWRlb9IBAA?oc=5
China rejects supplying weapons to Hamas,"Thu, 25 Jan 2024 13:33:00 GMT","Earlier this month, quoting the Israel Defence Forces (IDF), The Telegraph newspaper reported that it discovered a “massive” stockpile of Chinese-made weapons being used by Hamas.
Also Read | Islamist leadership | The men who run HamasAccording to the IDF’s investigation, Hamas possessed advanced weapons and equipment made in China, such as cartridges and rifle sights for M16 assault rifles, automatic grenade launchers and communications devices, a report in the Hong Kong-based South China Morning Post said.
Asked about the IDF investigation, Foreign Ministry spokesman Sr. Col Wu Qian told a media conference here that China has never supplied any weapons or equipment to conflict areas.
Also Read | China calls for a larger-scale peace conference on Gaza crisisSr. Wu said that China has always adopted a ""cautious and responsible attitude"" to military exports, strictly adhering to three principles in its arms export policy.
Sr. Wu said since the outbreak of the Palestine-Israel conflict, China has provided Palestine with emergency assistance, including food and medical aid.",https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9uZXdzL2ludGVybmF0aW9uYWwvY2hpbmEtcmVqZWN0cy1zdXBwbHlpbmctd2VhcG9ucy10by1oYW1hcy9hcnRpY2xlNjc3NzY1ODQuZWNl0gFtaHR0cHM6Ly93d3cudGhlaGluZHUuY29tL25ld3MvaW50ZXJuYXRpb25hbC9jaGluYS1yZWplY3RzLXN1cHBseWluZy13ZWFwb25zLXRvLWhhbWFzL2FydGljbGU2Nzc3NjU4NC5lY2UvYW1wLw?oc=5
Hamas calls on international community to oblige occupation to implement ICJ decision,"Sat, 27 Jan 2024 11:35:00 GMT","The court said in the text read by the judges that Israel must take all measures within its power to prevent acts which could fall foul of the 1948 Genocide Convention and to ensure its military does not commit genocidal acts in Gaza.
The court cited examples of Israeli statements regarding genocide, killing and cleansing, such as statements by the occupation Minister of War Yoav Gallant.
The court considered that: “Israel is committing acts that are inconsistent with its international obligations,” as it is a signatory to the court’s agreement and requested an end to all acts related to killing and inflicting physical and psychological harm and destruction on the Palestinians.
The ICJ has no means to enforce the law, and it is not clear how Israel will respond to the decision.
READ: Gallant responds to ICJ: ‘Israel does not need lecture on morality’",https://news.google.com/rss/articles/CBMigQFodHRwczovL3d3dy5taWRkbGVlYXN0bW9uaXRvci5jb20vMjAyNDAxMjctaGFtYXMtY2FsbHMtb24taW50ZXJuYXRpb25hbC1jb21tdW5pdHktdG8tb2JsaWdlLW9jY3VwYXRpb24tdG8taW1wbGVtZW50LWljai1kZWNpc2lvbi_SAYUBaHR0cHM6Ly93d3cubWlkZGxlZWFzdG1vbml0b3IuY29tLzIwMjQwMTI3LWhhbWFzLWNhbGxzLW9uLWludGVybmF0aW9uYWwtY29tbXVuaXR5LXRvLW9ibGlnZS1vY2N1cGF0aW9uLXRvLWltcGxlbWVudC1pY2otZGVjaXNpb24vYW1wLw?oc=5
"Israel-Hamas War: At least1 74 Palestinians killed in Gaza in 24 hours, death toll rises to 26,257","Sat, 27 Jan 2024 21:16:49 GMT","Jan 28, 2024, 02:46AM ISTSource: TOI.inIn the past 24 hours, Israeli attacks in Gaza have claimed the lives of 174 Palestinians and left 310 others injured, according to the territory's Health Ministry.
The assaults, characterized by 18 massacres targeting families, have resulted in many people still trapped under rubble.
This escalates the death toll to 26,257 since the beginning of Israel's offensive on Oct. 7, with 64,797 others injured.
The ongoing conflict, triggered by a cross-border attack by Hamas, has led to widespread destruction and displacement, with 85% of Gaza's population internally displaced and 60% of its infrastructure damaged or destroyed, as reported by the UN.",https://news.google.com/rss/articles/CBMirwFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS92aWRlb3MvdG9pLW9yaWdpbmFsL2lzcmFlbC1oYW1hcy13YXItYXQtbGVhc3QxLTc0LXBhbGVzdGluaWFucy1raWxsZWQtaW4tZ2F6YS1pbi0yNC1ob3Vycy1kZWF0aC10b2xsLXJpc2VzLXRvLTI2MjU3L3ZpZGVvc2hvdy8xMDcxOTMxODUuY21z0gGzAWh0dHBzOi8vdGltZXNvZmluZGlhLmluZGlhdGltZXMuY29tL3ZpZGVvcy90b2ktb3JpZ2luYWwvaXNyYWVsLWhhbWFzLXdhci1hdC1sZWFzdDEtNzQtcGFsZXN0aW5pYW5zLWtpbGxlZC1pbi1nYXphLWluLTI0LWhvdXJzLWRlYXRoLXRvbGwtcmlzZXMtdG8tMjYyNTcvYW1wX3ZpZGVvc2hvdy8xMDcxOTMxODUuY21z?oc=5
