Title,Source,Description,Link,Time
"Hamas Toll Thus Far Falls Short of Israel’s War Aims, U.S. Says",The Wall Street Journal,"MIDDLE EAST NEWS Israeli forces have killed 20% to 30% of Hamas’s fighters, U.S. intelligence... ",https://www.wsj.com/world/middle-east/hamas-toll-thus-far-falls-short-of-israels-war-aims-u-s-says-d1c43164?siteid=yhoof2&yptr=yahoo,· 4 hours ago
Israel-Hamas war: Moscow urges release of hostages as it welcomes Hamas,The Telegraph via Yahoo News,Russia has pushed Hamas for a “speedy release” of the approximately 130 remaining hostages it is... ,https://news.yahoo.com/israel-hamas-war-moscow-urges-161311261.html?fr=sycsrp_catchall,· 2 days ago
Blaming Israel is an outrageous inversion of reality,The Telegraph via Yahoo News,"As the Chief Rabbi writes in his Comment piece today, truth is often the first casualty in conflict. Sadly, when the world’s only Jewish state finds... ",https://news.yahoo.com/blaming-israel-outrageous-inversion-reality-060000168.html?fr=sycsrp_catchall,· 3 hours ago
‘I hope the families don’t find out what Hamas did to their loved ones’,The Telegraph via Yahoo News,"Unequivocal evidence has since shown how entire families were burned, people were beheaded, how... ",https://news.yahoo.com/hope-families-don-t-hamas-070000170.html?fr=sycsrp_catchall,· 2 hours ago
"Readers sound off on Palestinian resistance, the Uvalde report and the Refugee Act",NY Daily News via Yahoo News,"In spite of its power, Israel is losing the war Irbid, Jordan: I am pained by what is happening in Gaza. Killing, destruction, displacement and genocide for every Palestinian, without distinction ... ",https://news.yahoo.com/readers-sound-off-palestinian-resistance-080000925.html?fr=sycsrp_catchall,· 35 minutes ago
Israeli hostages at risk from deadly fungus with ‘no treatment’ in Hamas tunnel network,The Telegraph via Yahoo News,A member of the hostage team said that there is a ‘high chance many of the hostages are sick’ -... ,https://news.yahoo.com/israeli-hostages-risk-deadly-fungus-175852279.html?fr=sycsrp_catchall,· 15 hours ago
"In strategic bind, Israel weighs freeing hostages against destroying Hamas - The Boston Globe",The Boston Globe,"The dual objectives of freeing the hostages and destroying Hamas are now mutually incompatible,... ",https://www.bostonglobe.com/2024/01/20/world/strategic-bind-israel-weighs-freeing-hostages-against-destroying-hamas/,· 14 hours ago
"Israeli government divisions deepen as cabinet minister says defeating Hamas is unrealistic, calls...",CNN.com,Divisions within the Israeli government are deepening after war cabinet minister Gadi Eisenkot... ,https://www.cnn.com/2024/01/19/middleeast/eisenkot-netanyahu-israel-war-politics-gaza-intl/index.html,· 21 hours ago
Hamas’ underground tunnels are at least 350 miles long and have turned Gaza ‘into a fortress’:...,New York Post,Hamas’ sinister network of tunnels underneath the Gaza Strip may be over 350 miles long – or... ,https://nypost.com/2024/01/16/news/hamas-gaza-tunnels-at-least-350-miles-long-officials/,· 5 days ago
The health ministry in Hamas-run Gaza says a strike on a 'civilian car' in Rafah killed at least...,Bennington Banner,The health ministry in Hamas-run Gaza says a strike on a 'civilian car' in Rafah killed at least... ,https://www.benningtonbanner.com/news/national/the-health-ministry-in-hamas-run-gaza-says-a-strike-on-a-civilian-car-in/image_151af77d-6b73-5925-bce6-19a78799933a.html,· 2 hours ago
Israeli army photos reveal alleged Hamas hostage cells in Gaza,Newsweek,New images released by the Israel Defence Forces show what they said was a network of underground... ,https://www.newsweek.com/israeli-army-photos-reveal-alleged-hamas-hostage-cells-gaza-1862538,· 5 hours ago
EU accuses Israel of financing Hamas,Big News Network.com,"EU foreign policy chief Josep Borrell has openly accused the Israeli government of funding Hamas, an allegation Prime Minister Benjamin Netanyahu has denied. Borrell did not ... ",https://www.bignewsnetwork.com/news/274101189/eu-accuses-israel-of-financing-hamas,· 13 hours ago
"In Strategic Bind, Israel Weighs Freeing Hostages Against Destroying Hamas",The New York Times via Yahoo News,"TEL AVIV, Israel — After more than 100 days of war, Israel’s limited progress in dismantling Hamas... ",https://news.yahoo.com/strategic-bind-israel-weighs-freeing-161627893.html?fr=sycsrp_catchall,· 16 hours ago
U.K. Police Warn of 'Unprecedented' Rise in Terrorism Threat Amid Israel-Hamas War,Time via Yahoo News,Metropolitan Police assistant commissioner Matt Jukes told a gathering of journalists on Friday that... ,https://news.yahoo.com/u-k-police-warn-unprecedented-134927458.html?fr=sycsrp_catchall,· 15 hours ago
Hamas uses Israeli hostage to reveal two others are dead in latest sick propaganda ‘guessing game’...,New York Post,Hamas forced a female Israeli hostage to reveal the deaths of two fellow captives as part of a sick... ,https://nypost.com/2024/01/15/news/hamas-reveals-two-of-the-three-hostages-from-terror-groups-latest-sickening-propaganda-video-have-been-killed/,· 6 days ago
"WSJ News Exclusive | Hamas Toll Thus Far Falls Short of Israel’s War Aims, U.S. Says",The Wall Street Journal,"Israeli forces have killed 20% to 30% of Hamas’s fighters, U.S. intelligence agencies estimate, a... ",https://www.wsj.com/world/middle-east/hamas-toll-thus-far-falls-short-of-israels-war-aims-u-s-says-d1c43164,· 5 hours ago
"In Strategic Bind, Israel Weighs Freeing Hostages Against Destroying Hamas",New York Times,"To eradicate Hamas, the military would have to engage in a lengthy war that would most likely cost... ",https://www.nytimes.com/2024/01/20/world/middleeast/israel-hamas-hostages-strategy.html,· 22 hours ago
Israel Hamas war: UN say women and children main victims of conflict as IDF hit Damascus,Euronews via Yahoo News,"UN: Women and children main victims of Israel-Hamas war with 16,000 killed Women and children are... ",https://news.yahoo.com/israel-hamas-war-un-women-095620163.html?fr=sycsrp_catchall,· 23 hours ago
Israeli government divisions deepen as cabinet minister says defeating Hamas is unrealistic,CNN via AOL,Divisions within the Israeli government are deepening after war cabinet minister Gadi Eisenkot... ,https://www.aol.com/israeli-government-divisions-deepen-cabinet-201519946.html,· 21 hours ago
Israeli hostages at risk from deadly fungus with ‘no treatment’ in Hamas tunnel network,Daily Telegraph,A mysterious deadly fungus in the Hamas tunnel network poses a new threat to the 136 hostages being... ,https://www.telegraph.co.uk/world-news/2024/01/20/israeli-hostages-at-risk-from-deadly-fungus-in-hamas-tunnel/,· 15 hours ago
Hamas Took More Than 200 Hostages From Israel. Here’s What We Know.,The Wall Street Journal,The Palestinian militants who raided Israel in the Hamas attacks on Oct. 7 abducted over 240... ,https://www.wsj.com/world/middle-east/hamas-hostages-israel-gaza-41432124?siteid=yhoof2&yptr=yahoo,· 4 days ago
"An underground cell which, according to Israel's military, was used by Palestinian Islamist group ...",Colorado Springs Gazette,"An underground cell which, according to Israel's military, was used by Palestinian Islamist group ... ",https://gazette.com/news/us-world/an-underground-cell-which-according-to-israels-military-was-used-by-palestinian-islamist-group-hamas/image_47a7c255-f226-5ded-88d9-6e82c4cf1e39.html,· 12 hours ago
"Hamas says two Israeli hostages are dead, as IDF calls videos ‘psychological torment’ of captives’...",CNN.com,Israel said Monday that Hamas is carrying out “psychological torment” as the militant group released... ,https://www.cnn.com/2024/01/16/middleeast/israel-hamas-hostages-video-psychological-torment-intl/index.html,· 4 days ago
"Hamas fights with a patchwork of weapons built by Iran, China, Russia and North Korea",Midland Reporter-Telegram,Hamas propaganda videos posted over the past few weeks appear to show the shootings of Israeli... ,https://www.mrt.com/business/article/hamas-fights-with-a-patchwork-of-weapons-built-by-18608886.php,· 6 days ago
German filmmaker angry at slow response by artists to Hamas attack,dpa international via Yahoo News,Prominent filmmaker Martin Moszkowicz expressed outrage on Saturday at the initial silence by... ,https://news.yahoo.com/german-filmmaker-angry-slow-response-121201656.html?fr=sycsrp_catchall,· 20 hours ago
Hamas propaganda videos show hostage Noa Argamani saying 2 others killed,CBS News via Yahoo News,Hamas released a series of propaganda videos on Sunday and Monday showing three Israeli hostages —... ,https://news.yahoo.com/hamas-propaganda-videos-show-hostage-150548321.html?fr=sycsrp_catchall,· 5 days ago
"Hamas broadcasts video of Israeli hostages, says will disclose their fate",South China Morning Post,"Israeli officials have generally declined to respond to Hamas’ public messaging on the hostages,... ",https://www.scmp.com/news/world/middle-east/article/3248415/hamas-broadcasts-video-israeli-hostages-says-it-will-disclose-their-fate,· 6 days ago
Hamas hostages and civilians receive aid shipment | Arkansas Democrat Gazette,Arkansas Democrat-Gazette,"A shipment of medicine for dozens of hostages held by Hamas arrived in Gaza on Wednesday, part of a... ",https://www.arkansasonline.com/news/2024/jan/18/hamas-hostages-and-civilians-receive-aid-shipment/,· 3 days ago
"Hamas, Inc.: The property empire that funded militant attack on Israel",Newsweek,The glistening project in Turkey's cultural capital was built by a company controlled by what the... ,https://www.newsweek.com/2024/02/09/hamas-inc-property-empire-that-funded-militant-attack-israel-1860890.html,· 4 days ago
Hamas hostage families say politics cloud goal of saving loved ones,Newsweek,It's been more than 100 days since Hamas launched its attack on Israel that killed an estimated... ,https://www.newsweek.com/hamas-hostage-families-say-politics-cloud-goal-saving-loved-ones-1861224,· 4 days ago
