Title,Source,Description,Link,Time
UFC 297 LIVE: Strickland vs Du Plessis fight updates and results tonight,The Independent via Yahoo Sports,"Dricus Du Plessis took the middleweight title from Sean Strickland at UFC 297 on Saturday, beating... ",https://sports.yahoo.com/ufc-297-live-strickland-vs-233630853.html?fr=sycsrp_catchall,· 1 hour ago
Israel’s war in Gaza has exposed a deepening global divide,CNN via Yahoo News,"To supporters, South Africa’s case against Israel’s war in Gaza is a fight against racial injustice.... ",https://news.yahoo.com/israel-war-gaza-exposed-deepening-152121594.html?fr=sycsrp_catchall,· 1 day ago
Blaming Israel is an outrageous inversion of reality,The Telegraph via Yahoo News,"As the Chief Rabbi writes in his Comment piece today, truth is often the first casualty in conflict. Sadly, when the world’s only Jewish state finds... ",https://news.yahoo.com/blaming-israel-outrageous-inversion-reality-060000168.html?fr=sycsrp_catchall,· 3 hours ago
"Hamas Toll Thus Far Falls Short of Israel’s War Aims, U.S. Says",The Wall Street Journal,"MIDDLE EAST NEWS Israeli forces have killed 20% to 30% of Hamas’s fighters, U.S. intelligence... ",https://www.wsj.com/world/middle-east/hamas-toll-thus-far-falls-short-of-israels-war-aims-u-s-says-d1c43164?siteid=yhoof2&yptr=yahoo,· 4 hours ago
"Israel says Iran ramping up efforts to recruit spies, sow dissent on social media",Fox News,"As Israel wages a fierce war in Gaza against one of Iran’s best trained proxies, Hamas, the Islamic... ",https://www.foxnews.com/world/israel-says-iran-ramping-efforts-to-recruit-spies-sow-dissent-on-social-media,· 17 hours ago
Sean Strickland drops middleweight title to Dricus Du Plessis at UFC 297,The Independent via Yahoo News,"Dricus Du Plessis took the middleweight title from Sean Strickland at UFC 297 on Saturday, beating... ",https://news.yahoo.com/sean-strickland-drops-middleweight-title-070909147.html?fr=sycsrp_catchall,· 34 minutes ago
Israel-Gaza war live updates: U.S. prepares for sustained military campaign against Houthis in Yemen,Washington Post,"In Iraq, a number of U.S. troops are being evaluated for traumatic brain injuries after other Iran-backed militants attacked an air base there, U.S. Central Command said. ",https://www.washingtonpost.com/world/2024/01/21/israel-hamas-war-news-gaza-palestine-updates/,· 2 hours ago
Israel-Gaza: Netanyahu defies pressure over Palestinian state,BBC via AOL,EPA Benjamin Netanyahu has again insisted Israel should retain security control over all the... ,https://www.aol.com/israel-gaza-netanyahu-defies-pressure-001939364.html,· 7 hours ago
UPDATE 3-Fighting across Gaza as Israel drops leaflets seeking its hostages,Reuters via Yahoo Finance,Israel pounded targets across the Gaza Strip on Saturday while its planes dropped leaflets on the southern area of Rafah urging Palestinians seeking refuge there to help locate ... ,https://finance.yahoo.com/news/1-fighting-across-gaza-israel-115623687.html?fr=sycsrp_catchall,· 21 hours ago
Pro-Israel lawmakers in both U.S. parties are losing confidence in Netanyahu,NBC News via Yahoo News,WASHINGTON — Pro-Israel hawks in both parties on Capitol Hill are sounding the alarm that they are... ,https://news.yahoo.com/pro-israel-lawmakers-both-u-163021147.html?fr=sycsrp_catchall,· 16 hours ago
Unconditional aid to Israel is no longer the bipartisan certainty it once was as US senators begin...,Business Insider via Yahoo News,Pro-Palestinian demonstrators in Chicago demand a halt to US aid to Israel.Anadolu The US has given... ,https://news.yahoo.com/unconditional-aid-israel-no-longer-181604460.html?fr=sycsrp_catchall,· 14 hours ago
"Israel's Netanyahu rejects any Palestinian sovereignty in post-war Gaza, rebuffing Biden",La Crosse Tribune,"Israeli Prime Minister Benjamin Netanyahu said Saturday that he ""will not compromise on full Israeli... ",https://lacrossetribune.com/news/nation-world/government-politics/gaza-palestinians-biden-two-state-solution/article_79557789-a661-574f-b843-12af1fa920c6.html,· 9 hours ago
"Israel’s Netanyahu rejects any Palestinian sovereignty in post-war Gaza, rebuffing Biden",The Hill,Israeli Prime Minister Benjamin Netanyahu said Saturday that he “will not compromise on full Israeli... ,https://thehill.com/homenews/ap/ap-international/ap-hostage-families-protest-outside-netanyahus-home-ramping-up-pressure-for-a-truce-for-hostages-deal/,· 12 hours ago
Israel bombards Gaza's south as leaders discuss post-war future,AFP via Yahoo News,Israel ratcheted up its attacks in the south of the Gaza Strip on Saturday after Prime Minister... ,https://news.yahoo.com/israel-bombards-gazas-south-leaders-041516209.html?fr=sycsrp_catchall,· 1 day ago
Fighting across Gaza as Israel drops leaflets seeking its hostages,Reuters,Israel pounded targets across the Gaza Strip on Saturday while its planes dropped leaflets on the... ,https://www.reuters.com/world/middle-east/fighting-across-gaza-israel-drops-leaflets-seeking-its-hostages-2024-01-20/,· 13 hours ago
Israel-Gaza: Netanyahu defies pressure over Palestinian state,BBC News,Benjamin Netanyahu has again insisted Israel should retain security control over all the Palestinian... ,https://www.bbc.com/news/world-middle-east-68045247,· 8 hours ago
Iran accuses Israel of airstrike on Syria that killed five revolutionary guards,Investing.com,Iran accuses Israel of airstrike on Syria that killed five revolutionary guards ,https://in.investing.com/news/iran-accuses-israel-of-airstrike-on-syria-that-killed-five-revolutionary-guards-3981628,· 4 hours ago
